Descrição,Not. autor
"Borges, J., 1935-",BJ732
"Borges, Jacobo, 1931-",B732
"Borges, Jorge Luis, 1899-1986",
"Borges, José Francisco, 1935-",
"Borges, José Pedro de Aboim",
"Borges, José Pio",
"Borges, Maria Elizia",
"Borges, Maria Luiza X. de A.",
"Borges, Norah, 1901-1998",
"Borges, Paulo Henrique",
"Borges, Paulo Roberto Darma",
"Borges, Peter",
"Borges, Rebeca, 1982-",
"Borges, Rodrigo, 1974-",
"Borges, Rosane da Silva",
"Borges, Sofia, 1984-",B732
"Borges, Tânia",
"Borgese, Leonardo",A453b
"Borgesius, Henri",
"Borgeth, Arnold",
"Borghese, Inocencio, 1897-1985",B732
"Borghesi, Babi",
"Borghesi, Silvia",M986b
"Borghi, Paula",
"Borghini, Gianpietro",
"Borghini, Raffaele, 1537-1588",
"Borghini, Vincenzo, 1515-1580",
"Borgia, Claudia",Cg762s
"Borgianni, Orazio, C.1578-1616",
"Borgna, Gianni",
"Borgna, Mario, 1936-2007",
"Borgognone, 1455?-1523",
Borgomaneri,Fr439b
"Borgoña, Juan de, 1470?-1554?",
"Borgström, Michael, 1970-",
"Boria-Villel, Manuel J",
"Borins, Daniel",
"Borio, Giorgio",
"Borisov, Sergei",
"Borissavliévitch, Miloutine",B734
"Boritzer, Etan, 1950-",
"Borja, Lydia",
"Borja-Villel, Manuel J., 1957-",
"Börjeson, Birgitte, 1939-",
"Börjeson, Hans, 1932-",
"Bork, Dieter",
"Borkenhagen, Christina",
"Borkovsky, Joshua, 1952-",
"Borlengeri, Carlo",
"Bormann, Beatrice von",
"Born, Richard A.",
"Born, Wolfgang",
"Borna, ?-1380",
"Bornancini, José Carlos Mário, 1923-2008",B736
"Bornemisza, Géza",
"Borngraeber, Christian",
"Bornheim, Gerd A.",
"Bornstein, Christine Verzár",
"Böröcz, Balázs, Séc. 20-",Bo736
"Borofsky, Jonathan, 1942-",B736
"Boroli, Achille, 1913-2011",B736
"Borotra, Franck",
"Borovsky, Aleksandr",
"Borowicz, Bob, 1922-2009",
"Borowtz, Heleno",
"Borra, Pompeo, 1898-1973",Bp737
"Borrani, Odoardo, 1833-1905",
"Borrás Llop, Jorge, 1947-",B737
"Borràs, Maria Lluisa",Pf585b
"Borrelli, Germano",
"Borrell-Miralles, Franck",
"Borremans, Guglielmo, 1640-1744",
"Borro, Luigi, 1826-1886",
"Borromeo, Federico, 1564-1631",
"Borromeu, Carlos, Santo, 1538-1584",
"Borroni, Fabia",B737c
"Borsa, Roberto, 1880-1965",
"Borsano, Gabriela",
"Borsi, Franco",Hv821b
"Borsi, Stefano",
"Borsoi, Acácio Gil, 1924-2009",
"Borsos, Imre",
"Borsotti, Alessandro",
"Borst, Arno",B738m
"Borthagaray, Juan Manuel",L467bj
"Bortkiewicz, Jan",
"Bortoletto, José Roberto",
"Bortolin, Nancy",
"Bortolin, Nancy Therezinha",I39c
"Bortolon, Flavia Okumura",
"Bortolon, Liana",
"Bortolon, Lina",
"Bortoloti, Marcelo, 1975-",
"Bortolotti, Nadine",
"Bortolotto, Angelica Alverà",B739s
"Bortolozzo, Thiago, 1976-",B739
"Bortoluzzi, Ferruccio, 1920-2007",
"Bortulucce, Vanessa Beatriz",B739a
"Boruzs, Georgeta, 1941-",
"Borys, Stephen D",B739t
"Borysow, Vitor",
"Borza, Eugene N",
"Borzello, Frances",B739w
"Bos, Saskia",
"Bos, Tjalling",
"Bosanquet, Bernard",
"Bosboom, Johannes, 1817-1891",B741
"Boscagli, Giulio",
"Boscán, Walter",
"Bosch Cruañas, Lluis",
"Bosch, Albert",
"Bosch, Hieronymus, ca1450-1516",B742
"Bosch, Paul Van Den",R741b
"Bosch, Vivian",
"Boschi, Caio C",B742b
"Boschiero, Nicoletta",
"Boschkov, Atanas",B741b
"Bosco, Guido",
"Bosco, João",
"Bosco, Umberto",
"Bôscolo, Ulysses, 1977-",
"Boshier, Derek, 1937-",B743
"Bosi, Alfredo",
"Bosi, Ecléa",B743c
"Bosi, Ecléia",
"Bosio, Astyanax-Scívola, 1793-1876",
"Bosio, Gerard",
"Bosis, Alessandro Cortese de",
"Boskovits, Miklós",B743e
"Bosley, T. G., 1867-1948",
"Bosma, Koos",
"Bosmant, Jules",Da685b
"Bosnakis, Panos",
"Bosoni, Giampiero",
"Bosquet, Alain",T167b
"Boss, Franck",
"Bossaglia, Rossana",B745L
"Bosschaert, Thomas Willeboirts, 1614-1654",B745
"Bosschere, Jean de",M594b
"Bosse, Abraham, 1602-1676",
"Bossé, Laurence",
"Bosshard, Primula",
"Bosshart, Barnabás, 1947-",B745
"Bossi, Benigno, 1727-1793?",
"Bossi, Giuseppe, 1777-1815",
"Bossi, Luigi, 1758-1835",
"Bossi, Marco",
"Bossier, Willem",
"Bostain, C. W.",
"Bostelmann, Enrique",
"Bosticco, Sergio",
"Bostík, Václav, 1913-2005",
"Boswank, Herbert",
"Boswell, James, 1906-1971",
"Boswell, Jessie, 1881-1956",
"Bot, Marc Le",
"Bot, Oswaldo, 1895-1958",
"Botas, Marina de",
"Botas, Mário, 1952-1983",Bt748
"Botelho Vilaron, André",
"Botelho, Adir, 1932-",B748
"Botelho, Antonio",
"Botelho, Candida Arruda",
"Botelho, Cândida Maria de Arruda, 1944-",Bh748
"Botelho, Carlos, 1899-1982",B748
"Botelho, Manuel, 1950-",Bm748
"Botelho, Margarida",
"Botelho, Reinaldo",
"Botelho, Solange, 1924-",
"Botella-Gaudichon, Sylvette",
"Botero, Clara Isabel",
"Botero, Fernando, 1932-",Bf748
"Botero, Oscar",
"Botero, Regina",
"Botey, Josep Maria",
"Both, Jan Dirksz, ca1618-1652",B749
"Bothe, Rolf",
"Bothun, Tine, 1964-",
"Bothwell, Frances",
"Boto, Martha, 1925-2004",
"Botolatto, Luigina",
"Botril, Jean-François",
"Botstein, Leon",
"Bott, Gerhard",
"Botta, Carlo, 1766-1837",
"Botta, Guido, 1921-",
"Botta, Gustavo",Le856b
"Botta, Mario, 1943-",
"Bottai, Stella",
"Bottallo, Marilúcia",
"Bottari, Lorenzo Maria, 1949-",BL751
"Bottari, Stefano",Am634b
"Böttcher, Peter",
"Bottello, Arturo",
"Botter, Luisa, 1952-",B751
"Botteri, Dory",
"Bottger, Herbert, 1898-1954",Bh751
"Botti, Alberto; Rubin Marc",
"Botti, Rubens Alberto",
"Botticelli, Sandro, 1444-1510",B751
"Botticini, Raffaello Di Francesco, 1477-1520",
"Bottin, Vittorio",
"Bottineau, Josette",
"Bottineau, Yves",V434by
"Bottini, Girolamo",
"Bottino, Matilde",
"Bottman, Denise",
"Bottmann, Denise",
"Botton Beja, Flora, 1933-",
"Botton-Burlá, Flora",
"Bottoni, Piero, 1903-1973",B751
"Botwinick, Michael",
"Boubat, 1932-1999",B752
"Boubnova, Iara",
"Bouchage, Luc",
"Bouchardon, Jacques Philippe, 1711-1753",
"Bouchart, François-Xavier",
"Bouchart, Poul",
"Boucher, Francois, 1703-1770",B753
"Boucher, Henri",
"Boucher, Jean",
"Bouchet, Rainer Michael",
"Bouchot, François, 1800-1842",
"Bouchot, Henri",B755p
"Bouchot-Saupique, Jacqueline",W346b
"Boucicaut Master, 1390?-1430",
"Bouda, Cyril, 1901-1984",Bc756
"Boudaille, Georges, 1925-1991",B756
"Boudard, Jean-Baptiste, 1715-1773",
"Boudier, Emmanuelle",
"Boudin, Eugene, 1824-1898",B756
"Boudinet, Daniel, 1945-",
"Boudreau, Pierre Deligny",
"Bouet, Bertrand",
"Bouffard, Pierre",
"Bouffis, Monique Loutsch",
"Bougault, Valérie",B758p
"Bougier, Annette",
"Bouguereau, William-Adolphe, 1825-1905",
"Bouhours, Jean-Michel",
"Bouilhet, Henri",
"Bouilhet, Tony",B762o
"Bouillon, Jean-Paul, 1941-",
"Bouillot, Roger",Rw447b
"Boulaner, Jean-Paul",
"Boulanger, Gustave, 1824-1888",
"Boulanger, Louis, 1806-1867",
"Boulay, Marinalda Bertolete",
"Bouleau-Rabaud, Wanda",
"Boulenger, Hippolyte, 1837-1874",
"Boulez, Jules, 1889-",
"Boulier, Gérard",
"Boullée, Étienne-Louis, 1728-1799",
"Boullier, Renée",
"Boulogne, Valentin de, 1591-1632",
"Boulton, Alfredo",R452ba
"Boulton, Ann",
"Boulton, Jack",
"Boulton, María Teresa",
"Boultroux, Émile",
"Boumphrey, G",B764t
"Bouniort, Jeanne",
"Bounoure, Vincent",
"Bouqueret, Christian",
"Bouras, Harry",
"Bourcrot, Francis",
"Bourdelle, Émile-Antoine, 1861-1929",B768
"Bourdelle, Rhodia Dufet",
"Bourdieu, Pierre",B769r
"Bourdon, Sébastien, 1616-1671",
"Bourel, Yves",
"Bouret, Blandine",
"Bouret, Jean",
"Bourg, Alexis Merle du, 1970-",
"Bourgard, Bruno, Séc. 19/20",
"Bourgeois, Brigitte",
"Bourgeois, Caroline",
"Bourgeois, Louise, 1911-2010",B772
"Bourgeois, Pierre",D287b
"Bourgeois, René",G342b
"Bourgeois, Stephan",
"Bourgeois, Victor, 1897-1962",
"Bourgeon, Laurence",
"Bourget, Steve",
"Bourgin, Georges",
"Bourguignon, Katherine M.",
"Bourguignon, Yannick",
"Bourke-White, Margaret, 1904-1971",
"Bourne, Richard",
"Bourniquel, Camille",L555b
"Boursier-Mougenot, Céleste, 1961-",
"Boursier-Mougenot, Ernest",B776a
"Bousquet, Jean-Pierre",
"Boussada, Jairo",
"Boussingault, Jean-Louis, 1883-1944",
"Bousso, Daniela",
"Bousso, Vitoria Daniela, 1956-",
"Bousteau, Fabrice",
"Bouté, Gérard",
"Boutemy, André",
"Boutet de Monvel, Bernard, 1881-1949",
"Boutillier, L'abbé",B779v
"Boutin, Christophe, 1957-",
"Boutmy, Émile",B779p
"Bouton, Guillaume",
"Bouton, Joseph",
"Boutros, Charbel-Joseph H., 1981-",B781
"Bouts, Albert, 1452?-1549",
"Bouts, Bernard",B781
"Bouts, Bernard, 1909-1986",
"Bouttats, Gaspar, 1625-1695",
"Bouvet, Charles",
"Bouvet, Eric, 1961-",
"Bouvet, Francis",B716bf
Bouvier,B445b
"Bouvier, Laurent, 1841-1901",
"Bouvier, Raphäel",
"Bouvy, Eugène",
"Bouyer, Raymond",
"Bouyeure, Claude",
"Bouygues, Martin",
"Bouza, José Luis",
"Bouzas, Roberto",
"Bova, Mario",
"Bove, Carol, 1971-",B783
"Bove, Giacomo, 1852-1887",
"Bovero, Anna",B783a
"Bovi, Arturo",Kw16ba
"Bovier, Lionel",
"Bovini, Giuseppe",B783r
"Bovini, Mirco",
"Bovoli, F.",
"Bovot, Jean-Luc",
"Bowder, Diana",B784q
"Bowe, Florence",
"Bowen, Marjorie",H715bm
"Bower, Anthony",
"Bower, Peter",Tj948bt
"Bowes, Anne Labastille",
"Bowie, Theodore",
"Bowles, Janet Payne, 1872?-1948",
"Bowles, Manoela",
"Bowlin, Angela C.",
"Bowlt, John e",B787t
"Bowlt, John E.",
"Bowman, Russell",
"Bowmess, Alan",
"Bownes, Alan",
"Bowness, Alain",H656r
"Bowness, Alan",
"Bowness, Allan",
"Bowron, Astrid",
"Bowron, Edgar Peters",
"Boyadjiev, Luchezar, 1957-",
"Boyannoski, Christine",L873b
"Boyatt, Thomas D.",
"Boyce, George Price, 1826-1897",Bg789
"Boyd, Arthur, 1920-1999",B789
"Boyd, Daniel, 4d 1982-",
"Boyd, David, 1924-2011",Bd789
"Boyd, Julian P",
"Boyé, Abel-Dominique, 1864-1934",B791
"Boyer, Alain-Michel",
"Boyer, Ferdinand",
"Boyer, Jean",
"Boyer, Jean-Claude",Mp635b
"Boyer, Marie-France",B791c
"Boyer, Patricia Eckert",
"Boyer, Patrick Eckert B",
"Boyle, Deirdre",
"Boyle, P. Leonard E.",
"Boyle, Richard J.",
"Boym, Per Bj., 1946-",
"Boym,Svetlana",
"Boys, Thomas Shotter, 1803-1874",B793
"Boysse, Ernest, 1836-1891",
"Boza, Mauro, 1955-",Bm793
"Bozal Fernández, Valeriano",G724cn
"Bozal, Valeriano",
"Boze, Joseph, 1745-1826",
Bozena Kowalska,
"Bozis, Eriks",Be793
"Bozis, Eriks, 1969-",
"Bozo, Dominique",
"Bozza, Sergio",
"Bozzer, Luigi",
"Bozzi, Onofrio Solari",
"Bozzo, Ana Cristina",
"Bozzoli, Cecilia, 1957-",B793
"Bozzoli, Frederico, 1956-",B793
"Bracali, Rossella",
"Bracamonte, Mario",
"Bracante, Eldino da Fonseca",
"Bracante, Maria Helena",B796o
"Braccio, Gabriela",
"Bracewell, Michel",
"Bracher, Andréa, 1969-",Ba796
"Bracher, Blima",
"Bracher, Carlos, 1940-",Bc796d
"Bracher, Elisa, 1965-",Be796
"Bracher, Fani, 1947-",Bf796
"Bracho, Gabriel",
"Brackett, Truman H",
"Bracons, José",B797s
"Bracquemond, Félix, 1833-1914",
"Bradbury, Malcolm",B798m
"Bradbury, Ray, 1920-2012",
"Braddock, Alan C.",
"Brades, Susan Ferleger",
"Bradfield, Keith",
"Bradford, Mark, 1961-",B799
"Bradford, William",
"Bradley, Charley B",B811d
"Bradley, Fiona",B811s
"Bradley, Jessica",
"Bradley, Paul, 1957-",
"Bradley, Rizvana",
"Bradley, Steven",
"Bradley, Will",
"Brads, Eugène",
"Bradu, Fabienne, 1954-",
"Braekeller, Catherine de",
"Braff, Phyllis",
"Braga Sobrinho, Francisco",
"Braga,  Leonardo Costa, 1973-",
"Braga, Ariane Varela",
"Braga, Badaró",
"Braga, Eduardo",
"Braga, Felipe Eduardo Lázaro",
"Braga, Gedley Belchior, 1967-",Bg813
"Braga, Isis Fernandes",
"Braga, João",B813h
"Braga, José Luiz",B813p
"Braga, Julio",
"Braga, Karola, 1988-",B813
"Braga, Lars Igglund",
"Braga, Leda",
"Braga, Leonardo Costa, 1973-",
"Braga, Luiz, 1956-",B813
"Braga, Marcos Pinto",
"Braga, Matthias Tolentino Braga, Dom",
"Braga, Oduvaldo de Azeredo",
"Braga, Paula, 1968-",
"Braga, Pedro Ivo Soares",
"Braga, Rodrigo, 1976-",
"Braga, Rubem, 1913-1990",
"Braga, Rubens Lopes",
"Braga, Sylvia",
"Braga, Theodoro, 1872-1953",
"Braga, Ubiratã, 1965-",Br813
"Bragaglia, Alberto",B813a
"Bragaglia, Anton Giulio, 1890-1960",
"Bragança Júnior,  Álvaro Alfredo",
"Bragança, João de Orleans e, 1955-",Bj813
"Bragança, Soraya Patricia Rossi",
"Bragato, Kátia Ferreira",
"Bragdon, Claude",B813a
"Braham, Allan",Fc679b
"Braham, Allanand",
"Braham, Helen",
"Braham, Persephone",
"Braibant, Charles",
"Braide, Janet",
"Braillon, Juliette",
"Brait, Beth",
"Brake, Brian",
"Brall, Artur",B814k
"Bramante, Donato, 1444-1514",B815
"Bramantino, 1450?-1536",
"Bramati, Michela",
"Bramatti, Salete",
"Brambilia, Ana",
"Brambilla, Ana Maria",
"Branald, Adolf",Bc756b
"Branca, Giovanni, 1571-1645",
"Branca, Glenn",
"Brancaglion Junior, Antonio",B816t
"Brancaglion, Antonio",
"Brancaglioni Jr, Antoni.",
"Brancaglioni Jr, Antonio",
"Brancante, Eldino da Fonseca",
"Brancante, Eldino F",B816c
"Brancante, Maria Helena",
"Brancatelli, Renato, 1956-",
"Branco, Ariadne Escobar",
"Branco, Carla",
"Branco, Castelo",
"Branco, Ewely",Be816
"Branco, Vitor",
"Brancour, Réné",
"Brancusi, Constantin, 1876-1957",
"Brand, Eva",
"Brand, Heinz, 1944-",
"Brandalise, Saul",
"Brandani, Federico, 1520-1575",B817
"Brandão, Aderbal",
"Brandão, André",
"Brandão, Beatriz Tassinari",
"Brandão, Carlos Roberto Ferreira",
"Brandão, Carlos Rodrigues",B817f
"Brandão, Celso, 1951-",B817
"Brandão, César, 1956-",
"Brandão, Ecyla Castanheira",
"Brandão, Edson",
"Brandão, Eduardo",
"Brandão, Euro, 1924-2000",B817
"Brandão, Eymard, 1946-",Bd817
"Brandão, Ignácio de Loyola",B817s
"Brandão, Jacques do Prado",
"Brandão, Junito de Souza",B817d
"Brandão, Lázaro de Mello",
"Brandão, Lázaro de Melo",
"Brandão, Ludmila",
"Brandão, Luis Eduardo de Lima",
"Brandão, Ramón, 1964-",Ba817
"Brandão, Roni, 1935-",B817
"Brandão, Zezé",
"Brande, Reniloe Hammacher Van Den",
"Brandel, Constantin, 1880-1970",Bc817
"Brandenbarg, Ton",
"Brander, Leya Mira, 1976-",
"Brandes, Peter, 1944-",Bp817
"Brandi, Cesare, 1908-1988",
"Brandili, Barbara",
"Brandow, Todd",
"Brands, Eugene, 1913-2002",B819
"Brandstätter, Christian",Kg65b
"Brandt, Alberto, 1924-1970",Ba821
"Brandt, Bill, 1904-1983",Bb821
"Brandt, Frederick R.",
"Brandt, Grace Borgenicht",
"Brandt, Hannah, 1923-",B821
"Brandt, Marianne, 1893-1984",
"Brandt, Maurette",
"Brandt, Per Aage",
"Brandt, Renate Brandt",
"Brandt, Reynaldo André",
"Brandt, Sarita",
"Brandtzaeg, Karl J.",
"Branger, Alex",
"Brangwyn, Frank, 1867-1956",Bf821
"Branner, Robert",
"Brannigan, Sheila, 1914-1994",B821
"Branquinho, Paulo",
"Brans, J. V. L",
"Bransford, John Francis",B821ar
"Bransky, Jaroslav",
"Brant, Leonardo",B821m
"Brant, Maria Abramo Caldeira",
"Brant, Maria da Penha",
"Brant, Paulo",
"Brant, Sandra",
"Brantl, Ruth",
"Brantmayer, Jorge",
"Branzi, Andrea, 1938-",Bn821
"Braque, Georges, 1882-1963",B821
"Brasanelli, José, 1659-1728",
"Brasch, Heinz",
"Brasch, Kurt",
Brasigóis Felício,
Brasil,
"Brasil, Aléxia, 1969-",
"Brasil, Álvaro Vital, 1909-1997",
"Brasil, André",
"Brasil, Assis",
"Brasil, Felipe",
"Brasil, Lena",
"Brasil, Luiz Antonio de Assis",
"Brasil, Moara, 1983-",Bm823
"Brasil, Nelson",
"Brasil, Paiva, 1930-",Bp823
"Brasileiro, Alice de Barros Horizonte",
"Brasilier, André, 1929-",Br823
"Brasini, Armando, 1879-1965",
"Brass, Itálico, 1870-1943",
"Brassaï, 1899-1984",
"Brassai, Gilbert",
"Brassani, Pier Giorgio",
"Brasser, Fons, 1944-",Bf823
"Brastschi, René",
"Bratke, Cacá, 1971-",
"Bratke, Carlos, 1942-",
"Bratke, Cerlos",
"Bratke, Marcelo",
"Bratke, Oswaldo, 1907-1997",
"Braudel, Fernand",
"Brauer, Erich, 1929-",B825
"Brauer, Gerhard",
"Brauer, Jerald C.",
Bráulio Maria Schloegel,
"Braun, Barbara",
"Braun, Edmund Wilhelm",B825s
"Braun, Emily",
"Braun, Hermann",W761b
"Braun, Hugh",B825s
"Braun, Konrad Norbert",
"Braun, Mathias Bernard, 1684-1738",Bm825
"Braun, Matti, 1968-",Bt825
"Braun, Radu",
"Braune, Raquel",
"Brauner, Victor, 1903-1966",Bv825
"Braun-Feldweg, Wilhelm",B825n
"Braunfels, Stephan",
"Braunschweiger, Monica F.",
"Braunsteiner, Peter",
"Brausewetter, Martin, 1960-",
"Brautigam, Alexandre, 1974-",
"Bravi, Lúcia, 1944-",
"Bravilious, Eric William, 1903-1942",
"Bravo C., Mauricio",
"Bravo, Carlos",
"Bravo, Claudio, 1936-2011",
"Bravo, Lola Álvarez, 1903-1993",
"Bravo, Waldo, 1960-",Bw826
"Brawne, Michael",B827L
"Bray, Jan de, Ca.1627-1697",
"Bray, Peter",
"Bray, Warwick",
"Bray, Xavier",
"Brayda, Benedetto Riccardo, 1849-1911",
"Brayer, Yves",
"Brayner, Leonel, 1944-",
"Braz, Albino, 1882-1950",B827
"Braz, Caio Sílvio",
"Braz, Elisabeth",
"Braz, Jordana",
"Braz, Luis Roberto",
"Braz, Pedro José",
"Braz, Yan",
"Brazil, Juracy Vital",
"Brazil, Sandra",
"Brazille, Frederic, 1841-1870",
"Braznell, W. Scott",
"Brea, Luigi Bernabò",B517m
"Bréal, Auguste",V434b
"Breant, Jean Michel",
"Breccia, Alberto",
"Brecheret Filho, Victor",
"Brecheret, Maria Aparecida Silva",
"Brecheret, Victor, 1894-1955",B829
"Bréchon, Robert",M622b
"Brecht, Bertolt, 1898-1956",
"Brecht, George, 1925-2008",Bg829
"Breckenridge, Carol a",
"Brécourt-Villars, Claudine",
"Brecout, Guy",
"Breda, João Baptista",B831s
"Bredariolli, Rita Luciana Berti",B831d
"Bredius, a",
"Bredow, Rudolf, 1909-1973",B831
"Breds, Drude Kathrine, 1968-",
"Bredt, E. W.",B831
"Breeskin, Adelyn Dohme, 1896-1986",C343ba
"Brefe, Ana Cláudia Fonseca",MP986m
"Brega, Gian Piero",
"Bréhant, Jacques",
"Bréhier, Louis",B834s
"Brehm, Margrit",
"Brehm, Margrit Franziska",
"Breicha, Otto, 1932-2003",
"Breiing, Burkhard",
"Breines, Simon",
"Breitenbach, Josef",
"Breitenberger, Ernst",
"Breitman, Sioma, 1903-1980",B835
"Breitner, George-Hendrik, 1857-1923",B835
"Breivik, Bard, 1948-",
"Brejon de Lavergnée, Arnauld",
"Breker, Arno, 1900-1991",
"Brelich, Angelo",
"Breloh, Heinz, 1940-2001",
"Bremer, Jaap",
Brenda Case Scheer,
Brenda D. Rix,
"Brendle-Cavalcanti, Betânia Uchoa",
"Brener, Roland, 1942-2006",
"Brenez, Nicole",
"Brenken, Anna",
"Brennan, Francis",
"Brennand, Cecilia",
"Brennand, Francisco, 1927-2019",B838
"Brennand, Ricardo, 1927-",
"Brenneman, David a",
"Brenner, Constance, 1943-",B838
"Brenner, Fernanda",
"Brenner, Frédéric, 1959-",
"Brenner, Marina Cunha",
"Brenson, Michael",
"Brenta, Luigi",
"Brenta, Paulo",
"Brentani, Gerda, 1908-1999",
"Brentano, Fernando, 1955-",B839
"Brepohl, Erhald",
"Breschi, Giancarlo",
"Bresci, Amerigo",
"Bresciani, Ana María",
"Bresciani, Carlos",
"Bresdin, Rodolphe, 1822-1885",B842
"Breseghello, Carlos, 1958-",Bc842
"Breslau, Louise-Catherine, 1856-1927",
"Breslauer, Marianne, 1909-2001",Be842
"Bresola, Gabi",
"Bressan, Felix",B843
"Bressan, Felix, 1964-",
"Bressani, Fausta",
"Bressani, Tiago",
"Bressano, Paolo",
"Bresslau, Jean",
"Bresson, Guillaume, 1982-",
"Brest, Jorge Romero, 1905-1989",
Bret Waller,
"Bret, Antoine, 1717-1792",
"Bret, François",
"Bret, Guy",
"Bretagne, Anne de, 1477-1514",
"Brêtas, Marcos",
"Breteau, Denise",
"Breteau, René",
"Bretell, Richard R.",
"Bretes, Blanca",
"Breton, André, 1896-1966",B844
"Breton, Harriette Von",
"Breton, Jules",B844n
"Brett, Guy",
"Brett, Hugo Figueroa",
"Brettas, Marcella, 1972-",B845
"Brettell, R",
"Brettell, Richard R., 1949-",B845
"Breuer, Marcel",Bm846u
"Breuer, Marcel, 1902-1981",
"Breuille, Jean-Philippe",
"Breuning, Margaret",C343b
"Breuning, Olaf, 1970-",
"Breveglieri, Cesare, 1902-1948",
"Brewer, Donald",
"Brey, Mariano Rajoy",
"Breyer, Floriana, 1982-",
"Brezianu, Andrei",
"Brezianu, Barbu",B816b
"Briand, Martine",
"Briand, Yves",
"Brianza, Donatella Frizzi",
"Brias, Marcos, 1981-",
"Briault, R.P.M ([Maurice Briault])",B849a
"Bricaire de La Dixmérie, Nicolas, 1730?-1791",
"Bricarelli, Carlo",R136bc
"Bricchetti, Luigi Robecchi",
"Bricher, Alfred-Thompson, 1837-1908",B849
"Brichet, Robert",
"Bricon, Étienne",P971b
"Bridges, Barbara a",
"Bridges, Marilyn, 1948-",Br851
Bridget Moore,
Bridget Riley,
"Bridgland, Janet",
"Bridwell, Margaret M",
"Brieger, Peter",
"Brienen, Rebecca Parker",Ec19b
"Briere-Misme, Clotilde",B853p
"Briffault, Évelyne",
"Brigagão, Clovis",
"Briganti, Giuliano",
"Brigatto, Márcia",
"Brigatto, Márcio",
"Brigatto, Márcio Altaf",
"Briggs, Frederico Guilherme, 1813-1870",
"Briggs, Kate",
"Briggs, Martin S",B854p
"Briggs, Martin Shaw",B854b
"Brigh, Leonard",
"Brighton, Andrew",Pa116b
"Brignetti, Raffaello",
"Brignol, Ana Cecília",
"Brignoli, Luigi, 1881-1952",B856
"Brignone, Annie",
"Brignoni, Serge, 1902-2002",B856
"Brigstocke, Hugh",
"Bril, Michele, 1953-",
"Bril, Stefania, 1922-1992",Bs857
"Brill, A. A.",
"Brill, Alice, 1920-2013",B857
"Brilliant, Virginia",
"Brillouin, H.O.",
"Brinberg, Tatiana, 1967-",
"Brinckman, A. E.",
"Brinckmann, A.E",B858a
"Brindeau, Serge",
"Brindisi, Remo",B858
"Brindisi, Remo, 1918-1996",
"Bringhurst, Robert",B858e
"Bringuente, Ana Luiza",
"Brink, Hanne Foss, 1955-",
"Brink, Peter Van Den",
"Brinkman, Johannes, 1902-1949",
"Brinkman, L. C.",
"Brinton, Christian",
"Brinton, Selwin",
"Brion, Marcel",C425bm
"Brioschi, o",
"Briot, Marie-Odile",
"Briquet, C.M. [Charles-Moïse]",B858f
"Brisac, Catherine",
"Brisolla, Fabio",
"Brissac, Nelson",
"Brisse, Joël, 1953-",
"Brisset, Pierre",
"Brissett, Carolyn",
"Bristol, Horace",
"Brites, Blanca",
"Brítez, Rosa, 1941-",
"Brito, Alfredo",
"Brito, Clovis Carvalho",
"Brito, Cynthia, 1952-",B862
"Brito, Cyntia, 1952-",
"Brito, Fernando Saturnino de, 1914-196-?",
"Brito, Francisco Xavier de, ?-1751",
"Brito, Luciana",
"Brito, M. F. do Nascimento",
"Brito, M.F. do Nascimento",
"Brito, M.F. Nascimento",
"Brito, Manoel Francisco do Nascimento",
"Brito, Manuel de",
"Brito, Maria Luísa Castro e",
"Brito, Mario da Silva",B862h v.1
"Brito, Orlando, 1950-2022",B862
"Brito, Paulo Henriques de",
"Brito, Reynaldo",
"Brito, Reynivaldo",
"Brito, Ronaldo",
"Brito, Ronaldo Correia",
"Brito, Ronaldo Correia de",
"Brito, Saturnino Nunes de",
"Brito, Stella Regina Soares de",
"Britos, Juan, 1967-",
"Britt, David",
Britta Schmitz,
"Britto, Alfredo",
"Britto, Antônio",B862a
"Britto, Beatriz",B862t
"Britto, Glaucea Helena de",B862
"Britto, Lemos",
"Britto, Nelson Cayres de",B862p
"Britto, Paulo Fernando Henriques",
"Britto, Paulo Henrique",
"Britto, Paulo Henriques",
"Britto, Paulo Henriques de",
"Britto, Romero, 1965-",B862
"Britto, Rosângela Marques de",
"Britto, Sergio",B862f
"Brizi, Marina",
"Brizio, Anna Maria",B862p
"Brizio, Edoardo",B862g
"Brizio, Gian Paolo",
"Brizio, Giorgio Sebastiano",
"Brizola, Leo, 1962-",BL862
"Brizuela, Bettina, 1969-",
"Brizzi, Ary, 1930-",
"Brizzolara, Luis, 1868-1937",
"Broberg, Gunnar",
"Broc, Jean, 1771-1850",
"Broch, Hermann, 1886-1951",
"Brochado Filho, Paulo Rubens",
"Brochant de Villiers, Andre Jean François Marie, 1772-1840",
"Brock,  Charles",
"Brock, Bazan",
"Brock, Bazon",
"Brocker, MAX",
"Brockhaus, Christoph",
"Brockhous, Albert",B864n
"Brockman, John",B864t
"Brockmann, Elizabeth, 1955-",B864
"Brockway, James",
"Brockwell, Maurice W., 1869-1958",
"Brocos, Isidoro, 1841-1914",Bi864
"Brocos, Modesto, 1852-1936",B864
"Brod, Thomas",
"Brodbeck, Andrea",
"Broderick, Drew Kahu'aina",
"Brodie, James",
"Brodie, Jane",
"Brodie, Judith",
"Brödner, Erika",B823s
"Brodowski, Antoni, 1784-1832",
"Brodsky, Alexander, 1955-",Br864
"Brodsky, Joyce e",
"Brodsky, Judith K.",
"Brodsky, Marcelo, 1954-",B864
