Descrição,Not. autor
"Adagio, Noemí",A191
"Adalberto, 1961-",Ad192
"Adalsteinsdóttir, Sólveig, 1955-",A192
"Adam, Alfred MAC",
"Adam, Henri-Georges, 1904-1967",A193
"Adam, Jacqueline, 1960-",A193
"Adam, James, 1732-1794",A193
"Adam, Johanna, 1981-",A193
"Adam, Juliette, 1836-1936",A193
"Adam, Robert, 1728-1792",A193
"Adam, Yvette H.-G.",
"Adamciak, Milan, 1946-",A197
"Adami, Giuseppe",
"Adami, Hugo, 1899-1999",Ah198
"Adami, Valerio, 1935-",A198
"Adamoli, João Egydio, 1911-1980",A199
"Adams Jr., Frederick B.",
"Adams, Ann Jensen, 1949-",Aa211
"Adams, Ansel, 1902-1984",An211
"Adams, Beverly, 1965-",Ab211
"Adams, Brooks, 1954-",Ar211
"Adams, Cassandra, [19--]",Ac211
"Adams, Celeste Marie",
"Adams, Charles C.",
"Adams, Clinton, 1918-2002",Al211
"Adams, Denise, 1967-",Ae211
"Adams, Dennis, 1948-",Ad211
"Adams, Gavin, [19--]",Ag211
"Adams, Henry, 1949-",Ah213h
"Adams, Janes",Aj211
"Adams, Kim, 1951-",Ak211
"Adams, Mac, 1943-",A215m
"Adams, Philip R., 1908-1993",
"Adams, Robert, 1917-1984",A211
"Adams, Robert, 1937-",A211
"Adams, Sarah",A211
"Adams, Steven, 1955-",A217b
"Adams, William Howard, 1926-",A211
"Adamski, Hans Peter, 1947-",A219
"Adamson, Glenn, 1972-",A221
"Adamson, Robert, 1821-1848",A221
"Adant, Hélène, 1903-1985",A221
"Adão, Ana",
"Adcock, Craig, 1945-",A221
"Addade, Stéphane-Jacques, 1966-",A222
"Adderly, Rosanne",
"Addison, Joseph, 1672-1719",A225
"Addiss, Stephen, 1935-",A227
"Adéagbo, Georges, 1945-",A228
"Adeline, Jules, 1845-1909",A228L
"Adelman, Ann",A229
"Adelmann, Marianne, 1924-",A229
"Adelstein, Gabriela",
"Ades, Dawn, 1943-",
"Ades, Josiah V., 1899-",A232
Adevaldo,
"Adhémar, Hélene, 1910-1998",A234p
"Adhémar, Jean, 1908-1987",D317aj
"Adhémar, Jean-Caso Jacques de",
"Adi, Edith, 1934-",A235
"Adinolfi, Maurício, 1978-",Ad235
"AdJunior, 1986-",
"Adl, Sara El",
"Adler, Amy, 1966-",Aa237
"Adler, Bruno, 1888-1968",A237w
"Adler, Caroline",
"Adler, Dankmar, 1844-1900",Ad237
"Adler, Esther, [19--]-",Ae237
"Adler, Jankel, 1895-1949",A237
"Adler, Kathleen, 1944-",Mb861a
"Adler, Rachel",
"Adler, Salomon, 1630-1709",As237
"Adler, Samuel M., 1898-1979",As237
"Adlerová, Alena, 1922-2011",A237
"Adlerová, Charlotta, 1908-1989",A237
"Adlivankin, Samuil, 1897-1966",A237
"Adlow, Dorothy, 1902-1964",A237p
"Adnan, Etel, 1925-2021",A238
"Adolfo, Celso",
"Adonias Filho, 1915-1990",A239
"Adonias, Isa, 1919-2017",A239
"Adorni, Bruno, 1946-",A241
"Adorno, Camilo",
"Adorno, Theodor W., 1903-1969",A241
"Adoum, Rosángela",A241
"Adrian, 1923-",
"Adrian, Marc, 1930-2008",A243
"Adriani, F.",
"Adriani, Franziska",
"Adriani, Gert, 1908-1989",A243
"Adriani, Gotz, 1940-",A243
"Adulyadej, Bhumibol, 1927-2016",A244
"Adusei-Poku, Nana",
"Aebi, Kiko",A246
"Aeby, Noël, 1942-",A243
"Aegerter, Emmanuel, 1883-1945",A243
"Aellig, Roland, 1955-",A248
"Aeppli, Eva, 1925-",A251
"Aérosol, Jef, 1957-",A252
"Aertsen, Pieter, 1508-1575",A252
"Aeschbacher, Hans, 1906-1980",A253
"Aeschimann, Maurice",A253
"Aeschlimann, Erardo, 1897-1972",A253
"Aetz, Albrecht",
"Afarano, Regina H. E.",
"Affif, Philippe L.",
"Affonso, Sarah, 1899-1983",As257
"Afif, Saâdane, 1970-",A257
"Aflalo Filho, Roberto Cláudio dos Santos, 1952-",
"Aflalo, Roberto, 1926-1992",
"Afonso, Afonso José",
"Afonso, Albano, 1964-",
"Afonso, José Luis Hernández",
"Afonso, Otávio",
"Afonso, Rodrigo",
"Afonso, Simonetta Luz",
"Africano, Nicholas, 1948-",
"Afro, 1912-1976",
"Agabiti, Pietro Paolo, Ca.1470-Ca.1540",
"Agam, Yaacov, 1928-",A259
"Agazzi, Ermenegildo, 1866-1945",
"Agee, William C.",
"Agelvis, Segundo, 1899-1988",
"Agematsu, Yuji",S822a
"Ager, Matt, 1985-",
"Aghina, Guido",
"Agilson, Pedro",
"Agnelli, Susanna",
"Agnetti, 1926-1981",
"Agnew, Geoffrey",
"Agnoletto, Matteo",P581a
"Agois, Mariella, 1956-",
"Agostinelli, Julio, 1919-",
"Agostinelli, Mario, 1915-2000",
"Agostinho de Jesus, Frei, 1600-1661",J58
"Agostinho, da Piedade, Frei, 1580-1661",
"Agostini, Alfredo, 1908-1973",
"Agostini, Angelo, 1843-1910",
"Agostini, Daniela",
"Agostino Di Duccio, 1418- ca. 1481",A275
"Agra, Lucio, 1960-",
"Agresti, A.",A277p
"Agricola, Filippo, 1776-1857",
"Agropius, Walter, 1883-1969",
"Aguabella, Javier",
"Aguaza, María José",
"Agudelo, Dario Jaramillo",
"Aguer, Montse",
"Agüero G., Fernando",
"Aguero, Abil Peralta",
"Aguerre, Enrique",
"Aguerrebere, Rubén Loza",
"Aguiar Neto, Benedito Guimarães",
"Aguiar, Amanda Ruth Dafoe de",BL246L
"Aguiar, Célia, 1952-",
"Aguiar, Eliana",
"Aguiar, Elizabeth B. Dias",
"Aguiar, Flávio",
"Aguiar, Francisco Azevedo de",
"Aguiar, José Duarte de",
"Aguiar, Laura",
"Aguiar, Lígia",
"Aguiar, Márcia Valéria Martinez de",
"Aguiar, Melânia Silva de",
"Aguiar, Rosa Freire D'",
"Aguiar, Rui, 1944-",
"Aguiar, Taía, 1946-",
"Aguiar, Titta",A282
"Aguignier, Camille",
"Aguilar Garduño, Evelyn",
"Aguilar Vazquez, Ildefonso",
"Aguilar, 1941-",
"Aguilar, Gabriela",
"Aguilar, Gonzalo Moisés, 1964-",
"Aguilar, José Hernan",
"Aguilar, José Roberto, 1941-",A283
"Aguilar, Laura, 1959-",
"Aguilar, Nelson, 1945-",
"Aguilar, Sarah",
"Aguilera Cerni, Vicente",
"Aguilera García, Maria Del Carmen",A283s
"Aguilera Rojas, Javier",
"Aguilera, Karina Skvirsky, 1967-",
"Aguilera, Silva, Gerardo, 1907-1976",
"Aguiló, Ramon",
"Aguinsky, José Roberto, 1942-",
"Aguinsky, Paulo, 1942-",Ap283
"Aguinsky, Sandra S.",
"Aguirre, Lope de, Ca. 1518-1561",
"Aguirre, Marcelo, 1956-",
"Aguirre, Raul Gustavo",
"Agulhon, Maurice",
"Agurto Calvo, Santiago",A284c
"Agustín, Arcebispo de Valência",
"Aharonián, Coriún",
"Ahearn, John, 1951-",
"Ahil, Enrique",
"Ahimsa, Cláudia",
"Ahlander, Leslie Judd",
"Ahlert, Jacqueline",
"Ahlund, Mikael",
"Ahmed, Fernando",
"Ahmed, Sara, 1969-",
"Ahn, Chang Hong, 1953-",A286
"Ahn, Kyu-Chul, 1955-",
"Ahn, Soyeon",
"Ahrén, Uno",
"Ahrendt, Mary, 1940-",
"Ahrens, Gustav",
"Ahtila, Eija-Liisa, 1959-",
"Ahtola-Moorhouse, Leena",
"Ahumada, Eric Chait",
"Ai Mitsu, 1907-1946",A288
"Ai, Weiwei, 1957-",A288
"Aicard, J.",
"Aicher, Otl",
"Aida, Makoto, 1965-",
"Aidar, Gabriela",
"Aiga, Tetsuo",A289m
"Aigner, Carl, 1954-",
"Aiha, Martti, 1952-",Am289
"Aikema, Bernard",V397a
"Aikman, William, 1682-1731",
"Aiko, Miyanaga",
"Ailianos, Costis J.",
"Aillagon, Jean-Jacques",
"Aillaud, Camille",
"Aillaud, Gilles, 1928-2005",A293
"Aimar, Oscar",
"Aimara, Francesco",
"Aimone, Linda",A294e
"Ain, Gregory, 1908-1988",
"Ainaud, Joan",
"Ainaud, Juan",
"Aïnouz, Karim, 1966-",
"Ainsbury, Christopher",
"Ainsworth, Maryan W.",
"Aiping, Yuan",
"Aisslinger, Werner, 1964-",A299
"Aita, Paolo",B515a
"Aita, Zina, 1900-1968",
"Aitchison, Craigie, 1926-2009",A311
"Aiter, Georg",
"Aitken, Doug, 1968-",Ad311
"Aitken, Genevieve",
"Aitken, Marilyn",
"Aivazian, Pola, 1914-1967",Ap311
"Aizenberg, 1928-1996",Az311
"Ajler, Ricardo, 1958-",
"Ajmone, Giuseppe, 1923-2005",
"Ajroldi, Giovanna Federici",
"Ajubel, 1956-",Aj312
"Ajuz, Claudia",
"Ajzenberg, Bernardo",
"Ajzenberg, Elza Maria",Sm324m
"Akaba, Iotiro, ? - 1968",A313
"Akademische Druck, Graz",
"Akadjem, Svetkaba",
"Akai, Kame",
"Akamoto, Ayao, 1953-",
"Akavli, Guthorm",
"Akerele, Omoyemi, 1978-",
"Akerén, Sara",
"Akerman, Chantal, 1950-",
"Akhlomov, Viktor, 1938-",
"Aki, Masato, 1918-1982",
"Akiayama, Akira",
"Akihito, Imperador do Japão, 1933-",A315
"Akira, Tomita",
"Akiya, Takahashi",
"Akiyama, Kotaro",
"Akiyama, Yoshiko",
"Akiyoshi, Futo, 1977-",
"Akkerman, Ben, 1920-2010",A315
"Akoi-Jackson, Bernard",
"Akoun, J.-A., 1947-",
"Akrabov, Nikolai",
"Akurgal, Ekrem",A315k
"Al Azzawi, Dia, 1939-",A316
"Al Jumai´E, Saleh, 1939-",
"Aláez, Ana Laura, 1964-",Aa316
"Alafouzo, Marjo",
"Alaïa, Azzedine, 1940-",
Alain,A317p
"Alaiz, F. M. Lorda",
"Alaman, Agustin, 1921-1995",
"Alambert, Clara Correia D'",A318e
"Alambert, Francisco",S677
"Alámon, Gustavo, 1935-",Ag318
"Alamos, Tatiana, 1935-",
"Alanís, Judith",Tr153a
"Alarcão, Teresa",
"Alarcó, Paloma",M742as
"Alarcón Fernandez, José de",
"Alas, Luis de Las",
"Alasko, Richard-Raymond",
"Alasseur, Jean-Jules, 1818-1903",
"Alastair, Pseud, 1889-1969",A324
"Alavalle, José Antonio de",
"Alaver, Keila, 1970-",
"Alazard, Jean",L467Lo
"Al-Azzawi, Dia, 1939-",AL324
"Alba, Beatriz Vidal de",
"Alba, Maria Luiza Moreira de",
"Albacete, Alfonso, 1950-",A326
"Albagli Neto, Benjamin",
"Albani, Francesco, 1578-1660",
"Albano, Ana Angélica",
"Albano, Celina",
"Albano, José, 1944-",A326
"Albano, Maurício",
"Albarello, Eduardo",
"Albayrak, Ömer",
"Albejante, Carlota Mazon, 1981-",
"Albera, François",Ei36a
"Albernaz, Anna Carolina, 1943-",
"Alberon, 1934-",AL332
"Alberoni, Francesco",
"Alberotanza, Roberta",
"Alberro, Alexander",
"Albers, Anni, 1899-1994",
"Albers, Josef, 1888-1976",A332
"Albert, Adolphe, 1855-?",
"Albert, Bruce",B823y
"Albert, Gilbert, 1930-",Ag333
"Albert, Joseph, 1886-1952",
"Albert, Michel",
"Albert, Rodrigo, 1975-",
"Albert, Tony, 1981-",
"Alberti, Giuseppe Antonio, 1712-1768",
"Alberti, Leon Battista, 1404-1472",A334
"Alberti, Rafael, 1902-1999",
"Alberti, Verena",
"Albertin, Marcos",
"Albertina, Viena",
"Albertini, Gabriele",
"Albertini, Luigi, 1871-1941",
"Albert-Levin, Marc",Br271a
"Alberto VII, Arquiduque da Áustria, 1559-1621",
"Alberto, Stefano",
"Albertoni, Ettore A.",
"Albes, Claudia",A334e
"Albicoco, Jean Gabriel",
"Albin, Ricardo Cravo",A335m
"Albini, Franco, 1905-1977",
"Albisetti, César",A335e
"Albisetti, Emilio",
"Albistur, Joaquín",
"Alborch, Carmen",
"Alborñoz, Cristina Carrillo de",
"Albornoz, Pedro",
"Albrecht, Donald",A341g
"Albrecht, Herbert",
"Albrecht, Jurg",
"Albrecht, Susanne, 1960-",
"Albrich, Holger",
"Albright, Linda",
"Albrigth, Ivan, 1897-1983",
"Albuquerque Júnior, Hildiberto Ramos Cavalcanti de",
"Albuquerque, Beatriz",
"Albuquerque, Cátia Milena",
"Albuquerque, Chico, 1917-2000",A345
"Albuquerque, Cláudia",
"Albuquerque, Fernanda",
"Albuquerque, Georgina de, 1885-1962",A345
"Albuquerque, Heloisa Cavalcanti",
"Albuquerque, Lita, 1946-",
"Albuquerque, Lucílio de, 1877-1939",AL345
"Albuquerque, Marília Sabóya de",
"Albuquerque, Maycon José Alves de Andrade",
"Albuquerque, Mouzinho de, 1855-1902",
"Albuquerque, Thais, 1980-",
"Albuquerque, Vera",
"Albuquerque, Waldery",
"Albuzzi, Emilio",
"Alcada, Mariano U. de",
"Alcaide, Olcar, 1952-",
"Alcaide, Ricardo, 1967-",
"Alcaide, Victor Manuel Nieto",
"Alcaide, Victor Nieto",
"Alcain, Alfredo, 1936-",A346
"Alcalá Ezquerro, Carmelo, 1948-2015",
"Alcalá, May Lorenzo",
"Alcalde Del Rio, Hermilio",A346p
"Alcântara, Araquém, 1951-",Aa347
"Alcântara, Cristiane P. de",
"Alcantara, Dora",
"Alcântara, J., 1946-",Aj347
"Alcântara, José Pedro de",Jk76a
"Alcantara, Júlio S. B.",
"Alcântara, Paco",
"Alcantara, Pedro, 1942-",
"Alcântra, Lúcio Gonçalo de",
"Alcázar, Carlos",
"Alciati, Ambrogio, 1878-1929",A352
"Alcides, Sérgio",
"Alcina, José",A352a
"Alcindo, 1950-",AL352
"Alcipe, 1750-1839",
"Alckmin, Geraldo",
"Alcolea I Gil, Santiago",Z96a
"Alcolea, Carlos, 1949-1992",A354
"Alcopley, 1910-1992",A354
"Alcorn, John, 1935-1992",
"Alcorta, Arturo Condomi, 1955-",
"Ald, John Rew",
"Aldaca, Mariano",
"Aldaca, Marino U.",
"Aldana, Guillermo",
"Aldao, Federico",
"Alde, Yvette, 1911-1967",
"Aldegrever, Heinrich, 1502-ca1561",A358
"Aldemira, Varela",Sa586a
"Alden, James Madison, 1834-1922",
"Aldenhoff, Michael",A359a
"Alder, Bruno",
"Aldine, Marc, 1917-1956",
"Aldis, Gui",A363h
"Aldouby, Zvi, 1904-1996",A364
"Al-Dowayan, Manal, 1973-",
"Aldrich, Richard",Dw372a
"Aldrich, Robert",
"Aldrovandi, Cibele Elisa Viegas",
"Aldrovandi, Ulisse, 1522-1605",
"Aldunate Menéndez, José S.",
"Aldunate, Carmen, 1940-",A365
"Aldunate, Jaime Antúnez",
"Alebardi, Angiolo, 1883-1969",A366
"Alechinsky, Pierre, 1927-",Ac366
"Aleem, Mariam Abdel, 1930-2010",
"Alegre, Sylvia Porto",
"Alegrette, Álvaro",
"Alegria, Ana, 1947-",
"Alegría, Claribel",
"Alegria, José Augusto",
"Aleijadinho, ca. 1738-1814",A366
Alejandro Junior,
"Alejandro, 1943-",Aj366
"Alemán Velasco, Miguel",
"Alemani, Cecilia",
"Alemanni, N. Mazzocchi ([Nallo Mazzocchi Alemanni])",A367c
"Alemany, Uiso, 1941-",
"Alemão, Francisco Freire, 1797-1874",
"Alencar, Aglaé Fontes de",
"Alencar, Augusta Azevedo de",
"Alencar, Cesário Augusto Pimentel de",
"Alencar, Getulio",
"Alencar, José Almino de",
"Alencar, José de Souza",
"Alencar, José de, 1829-1877",
"Alencar, Mano, 1959-",A368
"Alencar, Mário Cochrane de, 1872-1925",
"Alencar, Mário de, 1872-1925",
"Alencar, Suélen Cirelo",
"Alencar, Vera",
"Alencar, Vera de",
"Alencar, Vera Maria Abreu de",
"Alencastro, Luiz Felipe de",
"Alencastro, Roberto Bicca de",
"Alencastro, Tito de, 1934-1999",At368
"Ales, Nikolaus, 1852-1913",A371
"Alesi, Massimo, 1907-1988",
"Alessandrini, Franco, 1944-",Af371
"Alessi Anghini, Alberto",
"Alessi, Alberto, 1952-",
"Alessi, Carlo, 1916-2009",
"Alessi, Chiara",A372a
"Alessio, Vito D'",
"Alexanco, Jose Luis, 1942-",
Alexander,
"Alexander, Darsie",
"Alexander, Elizabeth",
"Alexander, India",
"Alexander, Jonathan J. G.",
"Alexander, Ricardo Jesse",
"Alexander, S. M.",
"Alexander, Steven",
"Alexander, Vikky",
"Alexander-Minter, RAE",
"Alexandra, Rainha, Consorte de Eduardo VII, Rei da Grã-Bretanha, 1844-1925",
"Alexandre, Arsene",BL842a
"Alexandre, Edson",
"Alexandre, Maxwell, 1990-",A381
"Alexandre, Noël",M692an
"Alexandre, Paul, 1881-1968",
"Alexandrian, Sarane",A382s
"Alexandridis, Athanasios",
"Alexandrino, Pedro, 1856-1942",A382
Alexandru Cebul,
"Alexaner-Adda, Hélene",
"Alf, 1908-1980",
"Alfageme, Elvira, 1937-",A385
"Alfarano, Regina",
"Alfaro, Andreu, 1929-2012",
"Alfassa, Paul",
"Alfaya, Luiz Mauricio",
"Alfaya, Maurício, 1966-",
"Alfieri, Bruno",
"Alfieri, Dino",
"Alfieri, Fiorenzo",
"Alfons, Harriet",
Alfonso Castagneto R,
Alfonso Gómez M,
"Alfonso, José Luis Hernández",
"Alfonzo, Carlos, 1950-1991",
Alfredo César,
Alfredo Guati Rojo Et Al,
Alfredo O. G Gallas,
Alfredo O. G. Gallas,
"Alfsen, Glenny",
"Algaba, Paco",
"Alganos, A.",
"Algardi, Alesandro, 1595?-1654",
"Algarotti, Francesco, 1712-1764",
"Algaze, Mario, 1947-",
"Algora, Montxo, 1955-",
"Algorotti, Francesco, 1712-1764",
"Algranti, Gilberto",
"Algranti, Milão",
Ali Cordero Casal,
Ali Elahi,
"Aliaga, Juan Vicente",
"Aliaga, Maribel",
Alianza Colombo - Francesa de Bogotá,
"Aliberti, Alberto, 1935-",
"Alice, Tania",
"Alierta Izuel, César",
"Alimo, 1977-",
Alinari,
"Alinari, Alessandro",
"Alinari, Giuseppe, 1836-1892",
"Alinari, Leopoldo, 1832-1865",
"Alinari, Romualdo, 1830-1891",
"Alincbrot, Louis, 1432?-1463?",
"Aline Pina, Marcia Bibiani, Rafaela Zanete Et. Al.",
"Alini, Paola",
Alioune Sene,
"Alipio, Pedro",
"Alison, Filippo, 1930-",
"Alisten, Per-Anders",
Alitta Renée Simon Kraiser,
"Alix, Josefina",
"Aljanati, Arón",
"Alkema, Wobbe, 1900-1984",A415
"Alkins, Ted",
"Alkmim, Chicico, 1886-1978",
"Alkmin, Juliana Padua Melo",
"Allain, Jean-François",
"Allan, Micky, 1944-",
"Allan, Scott",
"Allan, Scott C",
